Subfolder,Filename,Product Name,Price
imgss,imgi_1000_7622300708450_newww.jpg,Cadbury Flake,35
imgss,imgi_1001_80050278.jpg,Ferrero Rocher,85
imgss,imgi_1002_80052357_neww_imagee.jpg,Duplo,22
imgss,imgi_1003_80177180.jpg,Kinder Country,18
imgss,imgi_1004_80768258_new.jpg,Kinder Joy,20
imgss,imgi_1005_80974482_new.jpg,Kinder Joy,20
imgss,imgi_1006_7610400070188.jpg,Lindt Swiss Classic Swiss Dark Chocolate,95
imgss,imgi_1007_6221073011357_copy.jpg,Corona Chocolate,12
imgss,imgi_1008_80001331.jpg,Tortilla Dark Chocolate,30
imgss,imgi_1009_6221073011340_copy.jpg,Corona White Sugar,12
imgss,imgi_100_6223009442730.jpg,Spuds Craft Cooked Hot Harissa,30
imgss,imgi_100_6281020173187.png,Luna Tea,40
imgss,imgi_1010_4014400901405.jpg,Merci Finest Selection,120
imgss,imgi_1011_6221073011449_12.jpg,Corona Milk Chocolate Bar,12
imgss,imgi_1012_3046920028752.jpg,Lindt Excellence Mint Intense Dark Chocolate,95
imgss,imgi_1013_8935001724063.jpg,Mentos Pure Fresh Mints,15
imgss,imgi_1014_6223000493922.jpg,Molto Mini Chocolate,20
imgss,imgi_1015_6223000495148.jpg,Molto Magnum,20
imgss,imgi_1016_5053990107292.jpg,Pringles Hot and Spicy,65
imgss,imgi_1017_5053990107339.jpg,Pringles,65
imgss,imgi_1018_5053990107384.jpg,Pringles Sour Cream & Onion,65
imgss,imgi_1019_6223004760464.jpg,Abu Ali Baked Thyme Flavor Pretzels,25
imgss,imgi_101_6223007944410_copy.jpg,Arabia Strawberry Milk,30
imgss,imgi_101_6223009442723.jpg,Spuds Original Craft Cooked,30
imgss,imgi_1020_6223001200758.jpg,Pretzio Sticks,30
imgss,imgi_1021_8697439300379.jpg,Toren Wafers,25
imgss,imgi_1022_7622202015915_1.jpg,Cadbury Choco Delight,35
imgss,imgi_1023_7622202015908_newww.jpg,Cadbury Choco Delight,35
imgss,imgi_1024_6221134011760_3_copy.jpg,M&M's Chocolate,30
imgss,imgi_1025_6222001100402_neww_imagee-removebg-preview.png,Cocoa Lovers Crispy Bar,30
imgss,imgi_1026_6221031002137.jpg,Shibsi Chips,25
imgss,imgi_1027_6221031002120.jpg,Sussi Cheese Flavored Chips,25
imgss,imgi_1028_6223006319226_copy.jpg,Abu Aziz Baked Pretzels Chilli & Lemon Flavour,25
imgss,imgi_1029_6223006319202_copy.jpg,Abu Ali Baked Pretzels,25
imgss,imgi_102_164458.jpg,Crepe Yofrette,30
imgss,imgi_102_4060720170014.jpg,Queen Coconut Cream,80
imgss,imgi_1030_6223006319196_copy.jpg,Abu Ali Baked Thyme Flavor Pretzels,25
imgss,imgi_1031_6223004760419_copy_1.jpg,Abu Ali Baked Pretzels - Chili & Lemon Flavor,25
imgss,imgi_1032_6224009922536_copy.jpg,Wonderville Secret Tales Magic Flavour Bubblegum,30
imgss,imgi_1033_6222001100426.jpg,Cocoa Lovers Crispy Bites,30
imgss,imgi_1034_7451789038686_copy.jpg,Moko Caramel Oranges,30
imgss,imgi_1035_7451789038518_copy.jpg,Moko Dark Chocolate Hazelnut Dragee,30
imgss,imgi_1036_7451789038372_copy.jpg,Moko Gold Almond Dragee,45
imgss,imgi_1037_6291007911206_copy.jpg,Treat,30
imgss,imgi_1038_4009900543040_copy.jpg,Wrigley's Extra Bubblemint Sugarfree,30
imgss,imgi_1039_6223000229965.jpg,Ponky Pesto Sauce Baked Not Fried Puff Snacks,25
imgss,imgi_103_7622202371226.jpg,Cadbury Dairy Milk Pistachio Crunch,55
imgss,imgi_103_aria5.jpg,Aroos Corn Flakes,80
imgss,imgi_1040_6223000227022_copy.jpg,Ponky Puff Snacks,25
imgss,imgi_1041_6223000227008_copy.jpg,Ponky Puff Snacks,25
imgss,imgi_1042_6222035227762_neww_imageee_1_.jpg,Balance Protein Crackers,25
imgss,imgi_1043_6221134011166.jpg,Twix Wafer Rolls,25
imgss,imgi_1044_02435430404.png,Candy Break Sour Watermelon Slices,10
imgss,imgi_1045_02435430400.png,Candy Break Gummy Bears,25
imgss,imgi_1046_6291007912319.jpg,Good Day Cashew Nuts,45
imgss,imgi_1047_7622210620620_neww.jpg,Trident Strawberry Gum,15
imgss,imgi_1048_7622210620248_neww.jpg,Trident Watermelon Flavor Gum,15
imgss,imgi_1049_6222001100358.jpg,Nice,30
imgss,imgi_104_6224009361212_thumbnail.jpg,Coconut Milk,30
imgss,imgi_104_8410525241314.jpg,Fini Bouteilles Roses & Bleues,30
imgss,imgi_1050_6223009440507_copy.jpg,Spuds Craft Cooked Lime Fusion Potato Chips,30
imgss,imgi_1051_6223010166304_1.png,Al-Aqsa Popcorn,20
imgss,imgi_1052_80916659_copy.jpg,Mentos Pure Fresh,15
imgss,imgi_1053_7622210834386_copy.jpg,Milka Caramel,30
imgss,imgi_1054_8410376054064_copy.jpg,Gullon Digestive Finas,35
imgss,imgi_1055_8410376045017_copy.jpg,Gullon Gluten Free Senza Glutine Crackers,25
imgss,imgi_1056_8000500390306_copy.jpg,Nutella Biscuits,25
imgss,imgi_1057_6291007912333_copy.jpg,Good Day Butter Cookies,25
imgss,imgi_1058_6222035207634_copy_1.jpg,Tiger Chipstix Sour Cream Flavour,25
imgss,imgi_1059_6222035207627_copy.jpg,Tiger Chipstix Chili Tomato,25
imgss,imgi_105_8410525179914.jpg,Fini Fried Eggs,30
imgss,imgi_105_aria4.jpg,Cacho,30
imgss,imgi_1060_8000500073698_copy.jpg,Kinder Bueno,25
imgss,imgi_1061_6223010166397.png,Sahel Al-Hadid Popcorn,20
imgss,imgi_1062_bear_buddies_6224011698238.jpg,Chewy Chewy Bear Buddies,30
imgss,imgi_1063_cola__6224011698245.jpg,Chewy Chewy,30
imgss,imgi_1064_6291007907414_2_.jpg,Britannia Digestive Original Biscuits,35
imgss,imgi_1065_6224008805953_copy.jpg,Kuwaiti Quality Almonds,45
imgss,imgi_1066_6223010166380_copy.jpg,Fulul,30
imgss,imgi_1067_070221008628.jpg,Trident Bubblegum Gum,15
imgss,imgi_1068_73390014049_copy.jpg,Mentos Pure Fresh Mint,15
imgss,imgi_1069_4009900541862_copy.jpg,Extra Wrigley's Sugarfree Strawberry Flavour Chewing Gum,30
imgss,imgi_106_6225000701328_newww.jpg,GRO Coconut Protein Source,30
imgss,imgi_106_8410525116834.jpg,Fini Jelly Sharks,25
imgss,imgi_1070_6221073001112.jpg,Bimbo Choco Mix,30
imgss,imgi_1071_6221073002584_6.jpg,Corona Dark Stevia 55g,30
imgss,imgi_1072_6221073002607_copy_1.jpg,Corona Dark Hazelnut Chocolate,30
imgss,imgi_1073_6221073002614_x6_copy.jpg,Corona Dark Hazelnut,30
imgss,imgi_1074_6221073002638_copy_1.jpg,Corona Dark Almond Chocolate,30
imgss,imgi_1075_6221073002645_x6_copy.jpg,Corona Dark Almond,45
imgss,imgi_1076_80979180_copy_1.jpg,Mentos Pure Fresh,15
imgss,imgi_1077_8690997084804_copy.jpg,Damla Fruit Snacks,25
imgss,imgi_1078_8690997089243.jpg,Dania Sour Tubes,30
imgss,imgi_1079_8935001725039.jpg,Mentos Pure Fresh,15
imgss,imgi_107_6222014301605.jpg,Rayeb Juhayna 100% Active Probiotics,30
imgss,imgi_107_8410525116759.jpg,Fini Jelly Bananas,25
imgss,imgi_1080_6225000575011_copy.jpg,GUSTO Protein Rings - Sour Cream,80
imgss,imgi_1081_6225000575028_copy.jpg,GUSTO Protein Rings Sweet and Spicy,30
imgss,imgi_1082_6225000575035_copy.jpg,GUSTO Protein Rings,30
imgss,imgi_1083_6223004641213.jpg,Go Nuts Crunchy Coated Peanuts,45
imgss,imgi_1084_6223004641220.jpg,Go Nuts Sour Cream Peanuts,45
imgss,imgi_1085_6224010124288.png,Scrunch Dark Chocolate Bars,30
imgss,imgi_1086_80906025.jpg,Mentos Pure Fresh Strawberry Chewing Gum,15
imgss,imgi_1087_8004800003423.jpg,Lago Mini Party Wafers Vanilla,25
imgss,imgi_1088_8004800003416.jpg,Lago Mini Party Wafers Biscuits,25
imgss,imgi_1089_8004800003409.jpg,Lago Mini Party Wafers Cacao,25
imgss,imgi_108_6222014301599.jpg,Rayeb Juhayna Water,10
imgss,imgi_108_8410525116704.jpg,Fini JellyKisses Strawberry & Cream,25
imgss,imgi_1090_7622210620194_newww.jpg,Trident Eucalyptus Mint Sugar-Free Gum,15
imgss,imgi_1091_4009900543071.jpg,Wrigley's Extra Blueberry Flavour,30
imgss,imgi_1092_6224009441648_copy.jpg,Al-Wafy Al-Ma’loki Dates,30
imgss,imgi_1093_6223000552087.jpg,Bake Rolz Biscuit Snack,25
imgss,imgi_1094_7622202296147.jpg,Cadbury Dairy Milk Bubbly,55
imgss,imgi_1095_6223000497876_copy.jpg,Molto,20
imgss,imgi_1096_6221134010749_copy.jpg,Twix Water Rolls,25
imgss,imgi_1097_8690504037750_copy.jpg,McVitie's Digestive Nibbles,35
imgss,imgi_1098_8690504037743_copy.jpg,McVitie's Digestive Nibbles,35
imgss,imgi_1099_80945437_copy_1.jpg,Mentos Pure Fresh Peppermint Lozenges,15
imgss,imgi_109_6224011536585.jpg,The Milkman Salted Caramel Cashew Milk,45
imgss,imgi_109_6925425479313.jpg,Trolli Pop Eye,30
imgss,imgi_10_1654426878950 (1).png,Digital Kitchen Scale,30
imgss,imgi_10_1654426878950.png,Digital Kitchen Scale,30
imgss,imgi_10_6222014312441 (1).jpg,N&G Coconut Milk,30
imgss,imgi_10_6222014312441.jpg,N&G Coconut Milk,30
imgss,imgi_10_6224010395336_-_add_50_g_the_logo.jpg,Basil,50g
imgss,imgi_10_7622202368233.jpg,Cadbury Dairy Milk Nutty Cream,55
imgss,imgi_1100_3046920016377_copy.jpg,Lindt Excellence 100% Pure Cocoa,95
imgss,imgi_1101_4009900482806.jpg,Wrigley's Extra Peppermint Sugarfree Gum,30
imgss,imgi_1102_6223010166366_1_copy.jpg,Al-Ojou,30
imgss,imgi_1103_6224010268609_copy.jpg,Cup Cake,30
imgss,imgi_1104_8410376037302_copy.jpg,Gullon Cracker,25
imgss,imgi_1105_6224009794720_x_12_packs.jpg,KoKo,30
imgss,imgi_1106_el_abd_cookies_x6.jpg,KoKo,30
imgss,imgi_1107_6224009265176_copy.jpg,TOTS,30
imgss,imgi_1108_6224010124271_1.png,Scrunchy Belgian Chocolate with Honeycomb,30
imgss,imgi_1109_72392659913.jpg,Warheads Extreme Sour Pops,30
imgss,imgi_110_6224009265688.jpg,TOTS,30
imgss,imgi_110_6224011536578.jpg,The Fishman White Mocha,30
imgss,imgi_1110_6223000551677_copy.jpg,Freska Fingers,30
imgss,imgi_1111_24354900182_copy.jpg,Candy Break Gummy Animals,25
imgss,imgi_1112_6224009265701_copy.jpg,TOTS,30
imgss,imgi_1113_6291007908541_copy.jpg,Good Day,30
imgss,imgi_1114_6224010458024.jpg,Fripps Banana Cabana Freeze-Dried Fruit Crisps,25
imgss,imgi_1115_microsoftteams-image_81__1.png,KataKito Fingers,30
imgss,imgi_1116_7622210336385.jpg,Dairy Milk Chocolates,12
imgss,imgi_1117_7622210337290_neww.jpg,Cadbury Dairy Milk Dark Chocolate Bar,55
imgss,imgi_1118_009800800056.jpg,Nutella,85
imgss,imgi_1119_6224010447608.jpg,Halo Harissa & Lime Protein Puffs,30
imgss,imgi_111_8992741987202.jpg,Yupi Cupcake,30
imgss,imgi_111_lactose_free_850ml_transparent.png,Reefy Lacto Free Milk,30
imgss,imgi_1120_6224010447585.jpg,Halo Protein Puffs Greek Cheese,50
imgss,imgi_1121_7622300491215.jpg,Oreo Milk Chocolate,30
imgss,imgi_1122_6221030005399_copy.jpg,Katakita Fingers,30
imgss,imgi_1123_6224010447592.jpg,Halo Pesto Protein Puffs,30
imgss,imgi_1124_80887058.jpg,Mentos Sour,15
imgss,imgi_1125_7613287910776.jpg,Lion,30
imgss,imgi_1126_7613287948960.jpg,Lion White,30
imgss,imgi_1127_8410525127465_1.jpg,Fini Rollers,30
imgss,imgi_1128_5011053021053_neww_imagee.jpg,Push Pop Cola 2.5oz,30
imgss,imgi_1129_2047110008807_copy.jpg,Al-Sabah Sufra,30
imgss,imgi_112_0745110216230_1.png,Rayeb,30
imgss,imgi_112_8992741945462.jpg,Yupi Gummi Lunch,30
imgss,imgi_1130_8935001726043.jpg,Mentos,15
imgss,imgi_1131_8935001726005.jpg,Mentos,15
imgss,imgi_1132_8410525200182.jpg,Fini Roller,30
imgss,imgi_1133_5011053025419.jpg,Bazooka Mix-upz,30
imgss,imgi_1134_6222024101967.jpg,McVitie's Nibbles,30
imgss,imgi_1135_6222024101998_copy.jpg,McVitie's Nibbles Dark Chocolate,30
imgss,imgi_1136_6223006881884.jpg,DoBella Salt and Vinegar Corn Crackers,25
imgss,imgi_1137_6223006881853_copy.jpg,Dobella Corn Crackers Himalayan Salt,25
imgss,imgi_1138_6223006881860_copy.jpg,Dobella Corn Crackers,25
imgss,imgi_1139_6223006881877.jpg,DoBella Cracker - Corn Crackers Tomato & Basil,25
imgss,imgi_113_0745114566546.png,The Millers Artisanal Milk,30
imgss,imgi_113_8992741905886.jpg,Yupi Mixed Berry Yogurt Gummy,25
imgss,imgi_1140_6223006881792.jpg,Rice Crackers Himalayan Salt,25
imgss,imgi_1141_6223006881808.jpg,Rice Crackers Creamy Onion,25
imgss,imgi_1142_6223006881822.jpg,Dobella Sweet Pepper Rice Crackers,25
imgss,imgi_1143_6223006881815_copy.jpg,Rice Crackers Spicy Cheese Flavour,25
imgss,imgi_1144_6222024101615.jpg,Ulker,30
imgss,imgi_1145_6222024101493_copy.jpg,Alpella 3 Jen,30
imgss,imgi_1146_8681451523014_copy.jpg,ToyBox Meire Sakiz,30
imgss,imgi_1147_6925448111382_copy.jpg,Burger Marshmallow,25
imgss,imgi_1148_6224010103757_copy.jpg,Zero Protein Puffs Sicilian Tomato,30
imgss,imgi_1149_6224010103801_copy.jpg,Zero Protein Puffs,30
imgss,imgi_114_8992741902250.jpg,Jungle Fun,30
imgss,imgi_114_rayeb-220.png,Almarai,30
imgss,imgi_1150_6224010103795.jpg,Zero Protein Puffs,30
imgss,imgi_1151_5011053024139.jpg,Juicy Drop Pop,30
imgss,imgi_1152_5011053024078.jpg,Big Baby Pop,30
imgss,imgi_1153_5053990101597_copy.jpg,Pringles,65
imgss,imgi_1154_5053990161966_copy.jpg,Pringles Barbeque,65
imgss,imgi_1155_6224001426261.jpg,Lakanto Hazelnut Milk Chocolate Bar,30
imgss,imgi_1156_6224001426223.jpg,Lakanto Hazelnut Dark Chocolate,30
imgss,imgi_1157_850035248034.jpg,Warheads Black Cherry Soda,30
imgss,imgi_1158_850035248041.jpg,Warheads Watermelon Sour Candy,10
imgss,imgi_1159_5011061135964.jpg,Mega Sour Gummi Flavoured Fruit Squares,30
imgss,imgi_115_6221073000405.jpg,Bimbo Original Chocolate Biscuits,30
imgss,imgi_115_6224000432027.jpg,N/A,30
imgss,imgi_1160_7622201719753.jpg,Moro,30
imgss,imgi_1161_microsoftteams-image_81__1_1.png,MORO Peanut Nuts,45
imgss,imgi_1162_6224011749138.jpg,Real Lentil Chips,25
imgss,imgi_1163_6224011749121_copy.jpg,Real Hummus Chips Sweet Chilli,25
imgss,imgi_1164_6224011749114_copy.jpg,Real Hummus Chips,25
imgss,imgi_1165_6224008528234.jpg,Marshzone Dippo,25
imgss,imgi_1166_6224008528470.jpg,Marshzone DROPS,25
imgss,imgi_1167_6224008528487_copy.jpg,Marshzone DROPS,25
imgss,imgi_1168_5060045051936.jpg,Toxic Waste Nuclear Fusion,30
imgss,imgi_1169_6221030006105.jpg,Tipo Soft Biscuit,25
imgss,imgi_116_6221073000375.jpg,Bimbo Choco Mix Mini,30
imgss,imgi_116_6224000287450.jpg,Arabian Water 1.5L,10
imgss,imgi_1170_6221030003913.jpg,El-Makadous Tipo Soft Biscuits 200g,25
imgss,imgi_1171_6221030006013_copy.jpg,Mini Tipo,30
imgss,imgi_1172_6221030006235.jpg,N/A,30
imgss,imgi_1173_5053990106981.jpg,Pringles,65
imgss,imgi_1174_8410376014068.jpg,Mini Fish,30
imgss,imgi_1175_4011100240216_1.jpg,Bounty,25
imgss,imgi_1176_7622201448790-1_1.png,Cadbury Miniatures,35
imgss,imgi_1177_7622201448905_updaatee.jpg,Cadbury Miniatures,35
imgss,imgi_1178_017273550347.jpg,American Garden Popcorn,20
imgss,imgi_1179_6221073001884.jpg,Bimbo Chocolat,30
imgss,imgi_117_6224000432164.jpg,Coffee Shake,30
imgss,imgi_117_6224010205796.jpg,Swiss Fru Dark Almond Pure Cocoa Butter Zero Sugar,45
imgss,imgi_1180_6221073001914.jpg,Bimbo Original,30
imgss,imgi_1181_6224011749107.jpg,Real Lentil Chips,25
imgss,imgi_1182_6224011749015.jpg,Real Baked Chips,25
imgss,imgi_1183_6224011749022.jpg,Real Baked Chips,25
imgss,imgi_1184_6224011749039_copy.jpg,Real Baked Chips,25
imgss,imgi_1185_6224011749091.jpg,Real Lentil Chips,25
imgss,imgi_1186_9556345280016_1.jpg,Miaow Miaow Chicken Flavour Crispy Cracker,25
imgss,imgi_1187_9556345018312_1.jpg,Miaow Miaow Cheese Flavoured Rings,50
imgss,imgi_1188_4017100217517_new.jpg,Sahel,30
imgss,imgi_1189_4823077621635.jpg,Roshen Wafers,25
imgss,imgi_118_6224000432195.jpg,DNA Farms Chocolate Milkshake,30
